path,kind,status,bytes,pages,fonts,vs_v12,finding
.gitattributes,code,live,435,,,unchanged,
.gitignore,code,live,348,,,unchanged,
00-Board-Documents/EDM-Labour-Productivity-Programme.pdf,document,output,53877,1,NJKBHP+MontserratThin-SemiBold;OUGCON+MontserratThin-Bold;VNXGPP+MontserratThin-Regular,unchanged,
00-Developer-Onboarding/EDM-Developer-Engagement-Brief.pdf,document,output,51921,1,EFFAEL+MontserratThin-Regular;OJNVOJ+MontserratThin-SemiBold;XHHNFL+MontserratThin-Bold,unchanged,
00-Developer-Onboarding/EDM-OS-Commercial-Engine-Spec.pdf,document,output,55180,2,CKQXYA+MontserratThin-Regular;GSRVPT+MontserratThin-Bold;ZQVYZT+MontserratThin-SemiBold,unchanged,
00-Developer-Onboarding/Moving-EDM-to-Claude-Code.md,documentation,live,7129,,,changed,
00-Developer-Onboarding/README-DEVELOPER.md,documentation,live,1727,,,unchanged,
01-Brand-Identity/BRAND-TOKENS.md,documentation,live,2612,,,unchanged,
01-Brand-Identity/Brand-Guidelines.pdf,document,output,175928,7,HDGQXH+Montserrat-Bold;HQFGZV+Montserrat;KIJZYG+Montserrat-Light;XJHXHJ+Montserrat-Semi-Bold,changed,
01-Brand-Identity/Illustration/README.txt,documentation,live,1166,,,unchanged,
01-Brand-Identity/Illustration/edm-hero-interior.svg,image,live,5028,,,unchanged,
01-Brand-Identity/Illustration/edm-pattern-cubes.svg,image,live,6812,,,unchanged,
01-Brand-Identity/Illustration/edm-sector-education.svg,image,live,1506,,,unchanged,
01-Brand-Identity/Illustration/edm-sector-hotels.svg,image,live,958,,,unchanged,
01-Brand-Identity/Illustration/edm-sector-residential.svg,image,live,3493,,,unchanged,
01-Brand-Identity/Illustration/edm-sector-workplace.svg,image,live,1463,,,unchanged,
01-Brand-Identity/Logo/favicon/apple-touch-icon.png,image,live,18906,,,unchanged,
01-Brand-Identity/Logo/favicon/favicon-32.png,image,live,2028,,,unchanged,
01-Brand-Identity/Logo/favicon/favicon-512.png,image,live,45732,,,unchanged,
01-Brand-Identity/Logo/favicon/favicon.ico,image,live,6485,,,unchanged,
01-Brand-Identity/Logo/favicon/favicon.svg,image,live,189590,,,unchanged,
01-Brand-Identity/Logo/png/EDM-Cube-Mark-1024.png,image,live,122239,,,unchanged,
01-Brand-Identity/Logo/png/EDM-Cube-Mark-512.png,image,live,44012,,,unchanged,
01-Brand-Identity/Logo/png/EDM-Logo-Mono-Black-1200.png,image,live,74593,,,unchanged,
